type,release_year,rating,country,listed_in
1,2017,9,317,389
0,2020,9,251,322
1,2020,11,503,96
1,2021,11,600,482
1,2021,11,58,405
1,2015,14,405,420
1,2019,11,503,97
1,2019,11,317,408
1,2018,13,618,418
1,2019,11,600,483
1,2016,13,294,418
0,2012,9,251,325
0,1976,11,150,322
1,2015,10,600,429
0,2018,12,336,322
1,2019,11,600,263
1,2021,9,295,408
0,2019,10,272,322
1,2015,13,58,429
1,2018,9,15,291
1,2018,9,317,381
1,2021,12,503,109
1,2020,12,23,428
1,2020,10,542,110
0,2018,9,251,197
0,1959,9,251,322
1,2020,11,42,239
1,2021,11,58,405
1,2020,13,433,419
1,2021,9,733,390
1,2021,14,600,418
1,2020,9,600,458
1,2020,9,733,381
0,2021,8,733,350
0,2021,11,251,367
0,2020,11,733,214
1,2019,11,162,241
0,2020,11,366,328
0,2013,8,437,32
0,2021,9,433,349
0,2018,7,30,353
0,2012,8,600,0
0,1997,8,653,0
0,2021,7,733,286
0,2002,7,600,20
0,1997,7,600,182
0,1999,7,600,28
0,1997,8,600,196
1,2020,10,20,373
0,2000,7,653,20
0,1995,7,600,64
0,1993,6,600,124
0,2019,9,743,325
0,2021,9,733,52
1,2021,11,733,389
0,2019,7,510,197
0,2008,6,629,124
0,2011,6,629,124
0,2010,7,600,200
0,2019,8,509,308
1,2021,11,733,405
0,2005,7,187,333
0,1988,8,600,15
0,2021,9,733,5
0,1995,7,600,60
0,2016,7,600,194
0,2011,8,715,227
0,2001,8,600,182
0,2018,7,586,333
0,1992,8,733,341
1,2020,11,733,406
1,2018,13,600,418
0,2019,8,503,322
1,2016,14,733,86
0,2008,7,600,333
0,2010,8,600,227
0,2000,6,600,124
0,2009,7,653,60
0,1999,6,228,124
0,2019,8,600,196
0,2006,7,600,29
0,2010,8,715,340
0,2019,7,600,305
0,1997,8,600,508
0,1984,6,600,8
0,1986,6,600,11
0,1989,6,600,137
0,2003,8,546,305
0,1980,8,600,0
0,2006,7,593,322
0,2008,8,600,355
0,2002,7,655,0
0,2010,7,646,58
0,2003,8,724,47
0,2012,8,618,47
0,2009,8,692,47
0,2020,11,366,328
0,1998,7,692,334
0,1998,8,600,332
0,2019,8,733,305
1,2021,11,467,390
0,2021,11,600,20
0,2020,9,733,322
1,2019,11,600,442
1,2020,9,733,77
0,2019,8,600,508
0,2021,11,733,197
0,2021,11,733,328
1,2021,11,340,238
1,2021,11,733,96
1,2020,9,105,85
1,2021,13,600,418
0,2020,9,733,322
0,2012,8,600,305
1,2021,9,317,80
0,2019,9,733,214
0,2018,11,733,315
0,2019,9,162,278
0,2010,11,326,322
0,2021,7,618,0
1,2021,11,733,410
1,2021,11,600,458
1,2021,9,733,80
1,2021,11,733,408
0,2021,6,733,286
1,2021,11,317,408
0,2021,8,600,341
0,2021,11,733,227
0,2021,9,733,278
0,2021,11,733,216
1,2021,10,733,381
1,2021,11,600,443
0,2019,9,733,325
0,2016,9,45,322
0,2003,11,366,197
0,2004,9,733,197
1,2021,11,733,289
0,2014,11,400,197
0,2016,11,400,197
0,2015,11,400,363
1,2001,9,600,447
1,2021,9,733,390
1,2018,9,485,390
1,2021,9,600,477
1,2018,11,162,406
1,2018,9,600,482
1,2019,11,733,408
1,2020,13,441,418
1,2020,11,158,241
1,2020,9,733,389
1,2015,9,600,487
1,2018,11,600,259
1,2020,11,441,238
0,1981,9,733,5
0,1982,11,733,5
0,1988,9,733,5
1,2019,11,2,383
1,2019,11,600,493
1,2018,11,317,382
1,2019,9,600,261
1,2020,11,86,482
1,2018,11,600,262
1,2018,11,485,241
1,2020,11,600,288
1,2018,11,503,99
1,2021,11,15,405
0,2021,11,733,322
1,2021,11,441,238
0,2021,7,600,305
1,2021,9,433,378
0,2021,11,733,39
0,2020,9,366,217
0,1981,9,733,3
0,2021,9,733,52
1,2021,9,733,405
1,2021,9,733,390
0,2021,9,733,197
0,2019,12,331,196
0,2015,9,733,322
1,2021,11,86,475
1,2021,11,733,387
0,2020,11,386,315
1,2021,11,249,410
1,2021,11,733,80
0,2019,11,58,305
0,2012,8,600,196
1,2021,11,489,410
0,2018,9,733,197
0,2019,9,212,281
1,2021,11,733,396
1,2021,9,733,389
0,2016,7,600,314
1,2020,11,2,387
1,2021,12,733,297
0,2021,11,301,328
0,2020,11,733,39
1,2020,14,600,429
1,2021,11,733,244
1,2021,11,733,387
0,1972,11,600,271
0,2021,10,733,271
0,2013,8,600,208
1,2021,10,600,418
1,2021,13,733,418
0,2020,8,600,0
0,2005,11,600,271
1,2014,10,600,442
0,2021,9,715,271
1,2021,11,733,396
1,2014,11,600,507
0,2020,11,600,271
0,2021,11,600,341
0,2021,11,733,438
0,2021,11,733,438
1,2021,9,433,408
0,2021,11,733,438
1,2016,14,134,418
1,2021,11,206,239
0,2021,12,251,197
0,2021,6,668,140
1,2021,11,390,78
0,2021,9,733,68
0,2021,6,119,124
0,2014,8,600,204
0,2012,11,332,322
0,2021,11,743,322
0,2014,11,88,318
1,2021,11,121,393
0,2019,9,496,371
0,2021,11,600,340
0,2013,11,366,197
1,2021,12,600,442
1,2021,11,600,252
0,2021,11,345,315
1,2018,14,733,429
0,2014,7,715,28
1,2007,11,121,387
0,2018,8,586,314
0,2021,10,352,135
0,2020,11,366,325
0,2021,12,600,271
1,2021,11,503,457
0,2015,10,733,438
0,2015,10,733,438
1,2021,12,733,297
0,2021,9,433,217
1,2021,9,600,477
0,2021,9,424,217
0,2021,11,441,52
0,2021,11,340,466
1,2021,9,317,405
0,2021,11,467,197
0,2020,10,2,278
0,2021,9,496,280
1,2021,9,733,507
1,2021,11,301,390
0,2019,11,386,328
0,2020,7,600,309
0,2012,11,600,316
0,2001,7,600,0
0,2009,11,600,210
1,2013,11,317,80
0,2000,7,600,33
1,2019,13,503,418
0,2021,9,733,271
0,1997,8,86,333
0,2021,11,45,216
0,2011,11,618,196
1,2021,13,600,418
0,2013,8,600,36
0,2003,8,600,0
0,2001,7,600,508
1,2015,9,503,109
0,2015,11,600,271
0,2008,8,600,36
0,2010,6,600,200
0,1997,7,600,227
0,2019,9,366,197
1,2012,9,600,482
0,2011,8,600,267
0,2001,7,600,305
0,1997,8,600,196
0,2004,7,600,339
0,2012,9,600,316
0,2011,8,600,42
0,2009,8,230,0
1,2006,12,317,89
0,2006,8,86,355
1,2021,9,733,406
0,2017,9,733,39
0,2017,12,733,39
0,2014,8,615,0
0,2004,7,600,20
0,1984,6,600,16
0,2021,13,733,120
0,2001,8,600,0
1,1993,14,618,418
0,1981,6,600,227
0,2015,11,733,323
0,2005,7,536,508
0,2015,7,600,196
0,1996,7,600,200
0,1976,6,600,14
1,2021,9,496,410
0,2018,8,503,336
0,2019,8,600,341
0,2019,11,600,196
0,2018,8,600,508
1,2020,11,600,261
0,2021,11,600,466
0,2021,9,733,214
0,2016,7,600,305
0,2021,14,733,124
1,2021,11,600,483
1,2021,11,733,292
1,2021,9,733,401
1,2021,11,295,241
0,2021,12,600,138
1,2021,12,733,80
0,2021,11,485,349
1,2021,11,369,401
0,2021,11,2,466
0,2018,11,479,315
0,2021,11,301,327
0,2021,11,733,39
1,2021,9,733,288
1,2016,11,317,80
0,2021,11,733,278
0,2014,9,733,328
0,2015,6,600,132
1,2021,11,733,389
1,2021,11,600,483
0,2020,10,733,362
0,2021,9,251,324
0,2021,9,733,324
0,2021,9,733,324
0,2021,8,600,44
0,2021,11,733,271
1,2021,14,600,428
0,2020,11,733,322
1,2021,11,441,395
0,2009,9,733,315
0,2011,9,150,322
0,2020,11,15,279
0,2021,14,733,124
1,2021,11,600,482
0,2011,6,600,124
0,2006,9,733,328
0,2014,8,600,36
0,2017,8,600,508
0,1998,7,600,271
1,1997,13,86,418
1,2021,11,340,238
0,2021,9,600,271
0,2021,9,251,197
0,2016,8,600,319
0,2021,11,251,315
1,2021,13,503,418
0,2020,11,733,325
1,2021,11,251,289
0,2021,11,251,209
0,2021,11,42,328
1,2021,11,600,493
1,2021,11,636,450
0,2021,11,424,328
0,2021,14,338,124
1,2021,11,600,479
1,2021,11,433,408
0,2018,11,79,197
1,2020,9,733,415
0,2020,11,31,349
0,2021,9,733,182
0,2021,8,600,340
1,2021,11,600,91
0,2004,8,503,357
0,2018,11,251,315
0,2020,9,733,280
0,2021,11,342,315
0,2021,9,206,328
1,2021,9,600,482
1,2021,9,733,389
0,2020,9,733,197
0,2020,11,441,322
1,2021,9,600,288
0,2019,12,600,359
1,2021,9,433,408
0,2021,11,251,328
0,2017,8,600,0
0,2021,9,105,39
0,1999,11,489,322
0,2020,11,600,271
1,2021,11,600,481
0,2021,9,251,315
0,2021,11,600,305
1,2017,14,251,429
0,2021,9,733,182
0,2020,12,251,325
0,2017,11,586,271
0,2020,11,219,328
0,2013,8,600,0
0,2019,11,600,272
1,2021,12,251,442
1,2021,11,600,231
1,2020,12,348,493
1,2018,11,600,259
0,2018,11,600,321
1,2021,13,733,418
0,2020,6,600,124
1,2010,13,733,110
0,2006,8,600,36
1,2010,13,733,418
0,1989,7,600,63
0,2017,8,733,44
0,2010,8,600,20
0,2005,7,600,182
0,2010,8,538,0
0,2009,3,586,137
0,2018,8,517,314
0,2012,6,600,124
1,2020,14,733,418
0,2017,14,733,124
0,2019,14,733,130
0,2013,14,733,147
0,2014,14,733,124
0,2013,14,733,124
0,2003,8,603,340
0,2008,7,600,42
0,2018,11,105,0
0,2020,11,503,322
0,1994,7,640,60
0,2009,7,721,340
0,2018,9,600,182
0,2011,7,700,60
0,2009,7,729,326
0,2002,8,600,227
0,2000,8,600,20
0,2016,8,600,340
0,2018,12,58,124
0,1992,8,206,0
0,2008,8,600,212
1,2021,12,733,442
0,2019,9,733,322
0,2021,11,251,315
1,2021,11,733,238
0,2021,6,733,124
0,2018,8,715,341
1,2021,11,733,395
0,2021,11,733,355
1,2021,11,733,80
0,2021,11,45,214
1,2021,10,733,297
1,2021,11,392,406
0,2014,8,600,305
0,2011,7,600,60
0,2018,8,441,508
1,2021,11,489,412
0,2020,12,251,322
0,2019,9,251,315
0,2021,9,600,22
0,2017,9,489,214
0,2016,9,489,214
0,2014,11,489,217
0,2013,11,489,214
0,2015,11,489,214
0,2004,11,489,25
0,2015,9,489,197
0,2021,11,441,280
0,2015,11,489,214
0,2015,11,489,217
0,2016,9,489,217
0,2019,11,733,214
1,2021,9,485,389
0,2017,11,489,214
0,2015,11,489,214
0,2020,10,150,315
0,2020,10,733,362
1,2021,9,600,477
0,2020,9,366,325
0,2001,11,489,197
0,2021,11,317,349
1,2021,12,26,100
0,2021,9,251,278
0,2021,11,228,328
0,2020,11,733,52
0,2015,9,77,328
0,2021,11,340,214
1,2021,11,301,406
1,2021,13,15,418
0,2013,13,733,124
0,2018,14,733,124
0,2017,13,733,124
0,2019,13,733,120
0,2020,14,733,120
0,2019,14,733,120
0,2014,9,600,271
1,2021,11,340,396
0,2016,8,209,508
1,2019,13,203,418
0,1992,8,600,305
0,2011,11,251,25
0,2010,11,251,322
0,2008,9,251,216
0,2001,6,267,324
0,2004,9,251,278
0,2010,11,251,196
0,2007,6,251,322
0,2021,11,251,315
0,2021,14,600,130
1,2021,14,733,86
0,2021,13,600,120
0,2015,8,93,352
0,2021,9,733,182
0,2013,11,600,322
0,2020,11,386,126
0,2020,9,212,325
1,2021,9,433,398
0,2013,8,548,39
0,2020,8,600,508
0,2017,7,132,305
0,2017,9,600,60
0,2021,9,251,197
1,2016,12,733,389
0,2020,11,600,285
1,2016,11,317,77
0,2016,11,317,4
1,2019,12,600,288
1,2006,9,600,457
1,2021,11,317,84
1,2020,9,600,442
0,2019,9,600,508
1,2018,9,326,408
1,2020,13,640,418
1,2019,13,116,110
0,2021,11,317,323
1,2003,14,317,86
0,2012,8,600,314
0,2014,11,600,285
0,2020,9,733,280
0,1981,8,600,265
1,2015,12,733,408
1,2021,9,600,482
1,2021,11,312,109
1,2018,11,600,500
1,2020,9,668,443
1,2020,11,600,231
1,2021,9,433,241
1,2019,11,600,483
1,2016,11,433,235
1,2019,11,58,503
0,2021,11,115,328
1,2020,11,485,413
1,2019,11,600,297
0,2020,9,251,325
0,2021,11,600,271
0,2017,14,733,147
0,2018,14,733,130
0,2018,14,733,147
0,2019,14,733,120
1,2021,12,613,288
0,2018,14,733,120
0,2019,14,733,120
0,2017,13,733,120
1,2020,12,300,457
0,2021,9,105,5
1,2018,10,600,429
1,2021,9,733,381
0,2020,8,600,182
1,2020,9,105,81
0,2021,11,433,322
0,2016,11,366,328
0,2021,9,251,206
0,2021,7,600,20
0,2021,11,600,305
0,2020,12,272,325
1,2021,11,317,80
0,2021,12,733,285
1,2021,9,251,382
1,2021,11,733,443
1,2021,11,733,234
0,2021,14,733,124
0,2020,11,633,271
0,2021,9,251,197
0,2020,11,57,322
0,2020,11,600,355
0,2013,6,618,132
0,2006,7,600,182
0,2018,8,105,39
0,2012,13,618,126
0,2021,8,586,314
0,2019,8,600,0
0,2018,11,366,308
0,2021,11,251,371
0,2021,11,352,217
0,2021,11,162,322
0,2008,7,721,227
0,2017,6,600,124
0,2009,7,600,60
0,2009,7,251,197
0,2012,12,251,219
1,2020,12,733,289
0,2019,12,329,278
0,2010,7,618,355
0,2015,8,618,44
0,2016,7,320,60
0,2001,7,600,227
0,2020,9,251,322
1,2021,10,738,291
0,1996,8,600,0
1,2017,11,503,96
0,1964,3,600,180
1,2021,11,600,449
0,2017,8,600,52
1,2016,12,503,100
0,2017,9,733,39
0,2017,9,317,39
0,2017,9,733,39
0,2016,8,600,0
0,2017,8,683,60
0,2010,7,600,0
0,2021,9,272,325
0,2019,12,155,53
0,2002,8,537,315
0,2009,7,600,355
0,1999,8,600,0
0,2016,9,251,328
0,2017,11,600,271
1,2021,11,600,294
0,2008,7,715,227
0,2018,7,286,305
1,2021,9,687,383
0,2020,11,503,281
1,2015,13,433,419
1,2005,14,317,86
0,2021,12,600,271
0,2021,13,116,120
1,2020,13,600,418
0,2013,7,578,322
0,2012,8,600,305
0,2021,12,366,278
0,2021,12,600,145
0,2021,11,600,182
1,2013,10,600,418
0,2018,11,733,322
0,1998,11,288,321
0,2020,12,503,271
0,2020,9,489,322
1,2021,11,441,383
0,2020,11,441,214
0,2021,12,251,197
1,2021,9,503,97
0,2021,9,301,325
1,2021,11,600,75
1,2021,14,317,418
0,2021,14,408,124
0,2021,9,600,271
0,2021,11,424,466
1,2021,9,433,376
1,2021,9,433,408
0,2013,7,591,315
0,2020,11,317,322
0,2020,11,480,346
0,2020,8,600,0
1,2010,14,683,418
1,2021,14,733,429
1,2021,12,600,482
1,2021,11,503,288
0,2020,10,733,362
0,2021,9,105,52
0,2020,11,366,217
1,2021,11,317,77
0,2021,8,600,508
0,2021,9,45,25
0,2021,10,600,466
0,2020,8,586,0
0,2014,7,600,466
0,2020,11,504,322
0,2020,12,733,280
0,2017,9,366,328
0,2021,8,600,271
1,2021,9,38,232
0,2014,7,586,331
0,2021,11,212,466
0,2012,8,600,340
1,2021,13,600,418
1,2021,9,150,240
0,2021,9,251,325
0,2016,6,673,137
0,2020,9,600,271
1,2021,11,715,298
1,2021,10,503,112
0,2020,9,733,271
0,2015,11,489,214
0,2020,10,322,197
1,2021,11,433,375
0,2015,9,489,322
0,2021,11,489,322
1,2021,11,600,482
0,2020,11,733,324
0,2010,11,489,217
0,2013,11,489,217
1,2021,11,503,97
0,2021,6,600,124
0,2016,12,489,196
0,2021,11,442,315
0,2020,9,272,322
0,2020,11,600,342
1,2021,11,162,239
1,2021,11,733,288
1,2021,10,733,443
1,2021,9,212,289
1,2021,11,251,408
0,2021,7,270,315
1,2015,9,150,408
0,2021,9,251,196
1,2021,14,600,418
0,2021,11,121,197
0,2020,9,366,214
1,2021,11,441,292
1,2021,14,733,87
0,2021,11,162,39
0,2020,9,272,217
1,2021,9,603,75
0,2013,8,600,0
0,2013,7,600,333
0,2021,7,600,199
1,2021,9,600,231
0,2014,7,600,305
0,2020,9,251,25
1,2021,13,600,418
1,2019,11,733,150
0,2009,12,733,39
0,2021,8,600,285
0,2021,11,733,466
0,2021,10,733,280
0,1990,7,715,17
0,2018,9,212,214
0,2019,13,600,124
0,1988,8,600,171
0,2011,9,733,39
0,2006,8,653,189
1,2011,9,317,80
0,2021,14,39,124
0,2016,8,600,196
0,2021,11,441,217
0,2006,11,4,315
0,2021,11,733,194
0,2015,8,713,0
0,2011,8,600,196
0,2021,11,251,371
0,2008,11,99,315
0,2014,11,212,371
